algorithm,run,qps,mean,ci95,recall,result_file
milvus-hnsw,1,117.12516015537653,105.90222437327398,33.986758536669306,0.9974786967418546,<remote_artifact>
milvus-hnsw,2,102.69168568273601,105.90222437327398,33.986758536669306,0.9974786967418546,<remote_artifact>
milvus-hnsw,3,136.25202160461572,105.90222437327398,33.986758536669306,0.9974786967418546,<remote_artifact>
milvus-hnsw,4,111.25368396323408,105.90222437327398,33.986758536669306,0.9974786967418546,<remote_artifact>
milvus-hnsw,5,62.188570460407476,105.90222437327398,33.986758536669306,0.9974786967418546,<remote_artifact>
weaviate-hnsw,1,3.9265130997278406,3.9253850498419824,0.000983354791416792,0.9988551378446116,<remote_artifact>
weaviate-hnsw,2,3.924587843883358,3.9253850498419824,0.000983354791416792,0.9988551378446116,<remote_artifact>
weaviate-hnsw,3,3.925496012134616,3.9253850498419824,0.000983354791416792,0.9988551378446116,<remote_artifact>
weaviate-hnsw,4,3.9246687209536146,3.9253850498419824,0.000983354791416792,0.9988551378446116,<remote_artifact>
weaviate-hnsw,5,3.9256595725104813,3.9253850498419824,0.000983354791416792,0.9988551378446116,<remote_artifact>
milvus-gpu-cagra,1,156.649309365992,198.97637781405572,57.097800449041756,0.29910676691729327,<remote_artifact>
milvus-gpu-cagra,2,143.73275888179433,198.97637781405572,57.097800449041756,0.29910676691729327,<remote_artifact>
milvus-gpu-cagra,3,240.2247681575508,198.97637781405572,57.097800449041756,0.29910676691729327,<remote_artifact>
milvus-gpu-cagra,4,239.9335803247933,198.97637781405572,57.097800449041756,0.29910676691729327,<remote_artifact>
milvus-gpu-cagra,5,214.34147234014813,198.97637781405572,57.097800449041756,0.29910676691729327,<remote_artifact>
