"server","campaign","dataset","condition","algorithm","parameter_group","record_count","build_time_s","build_time_min_s","build_time_max_s","data_load_s","insert_time_s","index_time_s","index_size","data_size","status","source","source_path","notes"
"153","single_thread_range","reviewer-tight","tight","FAISS-hnsw","filter=tight;M=128;efC=400","1","1766.1646258831024","1766.1646258831024","1766.1646258831024","0.6481292247772217","","1766.1646258831024","2679720946","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-tight","tight","FAISS-hnsw","filter=tight;M=128;efC=400","1","2486.164981365204","2486.164981365204","2486.164981365204","1.1409616470336914","","2486.164981365204","2679720946","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-tight","tight","FAISS-hnsw","filter=tight;M=32;efC=100","1","668.5460040569305","668.5460040569305","668.5460040569305","1.1774630546569824","","668.5460040569305","1923207678","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-tight","tight","FAISS-hnsw","filter=tight;M=32;efC=400","1","2255.4987132549286","2255.4987132549286","2255.4987132549286","1.1350107192993164","","2255.4987132549286","1923207678","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-tight","tight","FAISS-hnsw","filter=tight;M=64;efC=100","1","1397.430915594101","1397.430915594101","1397.430915594101","1.158923864364624","","1397.430915594101","2175348978","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-tight","tight","FAISS-hnsw","filter=tight;M=64;efC=400","1","2384.8804829120636","2384.8804829120636","2384.8804829120636","1.1969637870788574","","2384.8804829120636","2175348978","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-wide","wide","FAISS-hnsw","filter=wide;M=128;efC=400","1","1735.7459962368011","1735.7459962368011","1735.7459962368011","0.6428391933441162","","1735.7459962368011","2679720946","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-wide","wide","FAISS-hnsw","filter=wide;M=32;efC=100","1","416.73808693885803","416.73808693885803","416.73808693885803","0.6656389236450195","","416.73808693885803","1923207678","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-wide","wide","FAISS-hnsw","filter=wide;M=128;efC=400","1","2512.923093318939","2512.923093318939","2512.923093318939","1.182694673538208","","2512.923093318939","2679720946","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
"153","single_thread_range","reviewer-wide","wide","FAISS-hnsw","filter=wide;M=32;efC=100","1","664.5545170307159","664.5545170307159","664.5545170307159","1.1498560905456543","","664.5545170307159","1923207678","","build_time_and_search_new_153","153:<remote_artifact>","<remote_artifact>","new HDF5; one query worker; index_build_s retained"
