dataset,algorithm,unique_build_config_count,build_time_median_s,build_time_min_s,build_time_max_s,insert_time_median_s,index_time_median_s,index_size_median_mb,positive_index_size_config_count,index_size_sources
artificial-corr-12-original,acorn,5,377.215374,131.679266,883.302418,,377.215374,1633.8082332611084,5,native_serialized_bytes
artificial-corr-12-original,digra,5,11682.9,3784.54,19329.2,,11682.9,,0,missing
artificial-corr-12-original,elasticsearch-hnsw,1,550.9263961315155,550.9263961315155,550.9263961315155,538.8765711784363,12.049824953079224,,0,missing_or_nonpositive
artificial-corr-12-original,faiss-hnsw,5,124.54615902900696,47.735048055648804,154.96894216537476,9.04240369796753,117.51109552383423,1466.8393459320068,5,index_file_bytes
artificial-corr-12-original,hnswlib-hnsw,5,117.60066628456116,45.956775426864624,165.94027519226074,9.042504787445068,110.56500124931335,1470.738826751709,5,index_file_bytes
artificial-corr-12-original,irangegraph,5,2077.21,609.318,2873.59,,2077.21,1914.8371086120605,5,native_serialized_bytes
artificial-corr-12-original,milvus-gpu-cagra,6,314.02870547771454,177.21929788589478,390.2023649215698,85.98071432113647,228.220485329628,211.953125,5,index_size_raw_kb;missing_or_nonpositive
artificial-corr-12-original,milvus-gpu-ivfpq,9,100.87258744239807,95.0780701637268,105.66839694976807,81.10447669029236,19.768110752105713,351.37890625,9,index_size_raw_kb
artificial-corr-12-original,milvus-hnsw,5,194.80971217155457,133.54601573944092,256.0227117538452,80.69709157943726,114.08798933029175,1756.2734375,5,index_size_raw_kb
artificial-corr-12-original,milvus-ivfpq,9,101.3976366519928,94.13067770004272,114.94757652282715,79.79056429862976,21.87218713760376,394.015625,9,index_size_raw_kb
artificial-corr-12-original,qdrant,1,354.3964502811432,354.3964502811432,354.3964502811432,344.35052704811096,10.045923233032227,1197.80859375,1,index_size_raw_kb
artificial-corr-12-original,rangepq,1,113.305042,113.305042,113.305042,29.519971,83.776925,986.9252624511719,1,native_serialized_bytes
artificial-corr-12-original,redis-hnsw,8,1972.4537447690964,510.4170300960541,2570.268550157547,1962.4088253974915,10.047234177589417,0.265625,3,index_size_raw_kb;missing_or_nonpositive
artificial-corr-12-original,vearch-hnsw,1,554.481121301651,554.481121301651,554.481121301651,541.4323270320892,13.048794269561768,1.8828125,1,index_size_raw_kb
artificial-corr-12-original,vearch-ivfpq,1,458.34118390083313,458.34118390083313,458.34118390083313,445.2899513244629,13.05123257637024,0.9140625,1,index_size_raw_kb
artificial-corr-12-shuffled,acorn,5,367.659758,127.288115,870.9662,,367.659758,1633.8082332611084,5,native_serialized_bytes
artificial-corr-12-shuffled,digra,5,11468.8,3421.7,18088.2,,11468.8,,0,missing
artificial-corr-12-shuffled,elasticsearch-hnsw,5,678.6091759204865,540.7675211429596,685.9763996601105,672.5842547416687,6.024921178817749,0.01171875,1,index_size_raw_kb;missing_or_nonpositive
artificial-corr-12-shuffled,faiss-hnsw,5,130.03611874580383,50.58025574684143,150.56425952911377,11.051904201507568,118.98320198059082,1466.8393459320068,5,index_file_bytes
artificial-corr-12-shuffled,hnswlib-hnsw,5,113.30536603927612,37.65302038192749,139.97863245010376,5.027570724487305,108.27863311767578,1470.738826751709,5,index_file_bytes
artificial-corr-12-shuffled,irangegraph,5,2019.84,669.263,2930.75,,2019.84,1888.750186920166,5,native_serialized_bytes
artificial-corr-12-shuffled,milvus-gpu-cagra,6,344.7773413658142,175.27553915977478,350.4190332889557,85.75594341754913,258.3879164457321,936.412109375,6,index_size_raw_kb
artificial-corr-12-shuffled,milvus-gpu-ivfpq,9,111.27999639511108,108.37356042861938,112.46342921257019,87.0983669757843,24.184571743011475,769.953125,9,index_size_raw_kb
artificial-corr-12-shuffled,milvus-hnsw,5,162.4811556339264,129.17914724349976,178.48899674415588,85.89077234268188,76.5903832912445,1635.8828125,5,index_size_raw_kb
artificial-corr-12-shuffled,milvus-ivfpq,9,114.1556305885315,107.97319746017456,127.17289280891418,86.20319104194641,28.21794104576111,374.58984375,9,index_size_raw_kb
artificial-corr-12-shuffled,qdrant,1,379.64324712753296,379.64324712753296,379.64324712753296,367.5858838558197,12.057363271713257,1245.51171875,1,index_size_raw_kb
artificial-corr-12-shuffled,rangepq,1,113.652479,113.652479,113.652479,30.441517,83.201077,986.9252624511719,1,native_serialized_bytes
