"relative_path","size_bytes","sha256","publication_class","note"
"configs/workloads/revision_workloads_manifest.json","2160","8601a6a10307ad97d857a5d02f527da38439a18913e08d5f425bd68e8873e40a","github_candidate",""
"data/external_hdf5/artificial-corr-12-original.hdf5","1049036768","0d87b648e42558e2c692af2914b0a81520d3263180a04fd4efd0adb65bcb3814","huggingface_dataset_file","Upload to Hugging Face; do not commit to GitHub."
"data/external_hdf5/artificial-corr-12-shuffled.hdf5","1049036768","e12098a79380d38c106a5140eb60642bc57a1bd96bfbb24a654feef805c50ab7","huggingface_dataset_file","Upload to Hugging Face; do not commit to GitHub."
"data/external_hdf5/artificial-udf-12.hdf5","1057561360","59cc38f7daa3d2c1114af1c12973f0f419df13fb3a09ef23a9356c5edbd1956b","huggingface_dataset_file","Upload to Hugging Face; do not commit to GitHub."
"data/external_hdf5/cc_news-original.hdf5","993622440","16586cd512dad9ea3ea01fd1fe7d2c2b97848c593cc52416fb7c94daefa7cc87","huggingface_dataset_file","Upload to Hugging Face; do not commit to GitHub."
"data/external_hdf5/cc_news-shuffled.hdf5","997164232","d13e6ebef2fb4f70419c35f7720ffd44a3c1f3267b34a98f6e2987587b6aac89","huggingface_dataset_file","Upload to Hugging Face; do not commit to GitHub."
"data/manifests/artificial-corr-12-original_conversion_manifest.json","1932","1e36d1b1e6f6b09be4466270d060dcf0425f21987c52e2b4a72c092ff8236159","github_candidate",""
"data/manifests/artificial-corr-12-shuffled_conversion_manifest.json","1931","0b236334532d451380775a0db4fe6b2674b8f0a057c7087d07925834d9362363","github_candidate",""
"data/manifests/cc_news-original_conversion_manifest.json","1873","dc4a88fb9dbd539d940abc74881ef82521cabb9dea5a4c557988f93eecb56fdc","github_candidate",""
"data/manifests/cc_news-shuffled_conversion_manifest.json","1872","86efbd0bf9d508605b7e8b668a88c178e2e15a25be8be74c3d10d6bf479f98f4","github_candidate",""
"data/manifests/conversion_index.json","8050","bfa68a8133bf4ec169c0b8f93febc0407278f5f27730bc372a359b73c5211d71","github_candidate",""
"data/manifests/new_datasets_20260920.json","3157","f0b827b9790645325594ad59d8531c14090d01c0ec68a6a2a734d8cfb677e814","github_candidate",""
"docs/artifact_routing.md","2124","cc1ef2eb83bf8c0db5055ec8151ec5bca6bcd63d96843c1d314340c5e49134b0","github_candidate",""
"docs/controlled_single_thread_range_experiment_plan.md","21302","2f3a276855620971dd150d6335c52ea1f5936a74b4650b002121ff48eabb48ba","github_candidate",""
"docs/controlled_single_thread_range_result_analysis_20260820.md","36129","c5ec801e0f66c62aa6fd6ec4be35ae4473b7c4d2a8ca87b5eedbac5d0ad38a9b","github_candidate",""
"docs/experimental_protocol.md","2115","1bbed9b081d305817ee0742fc31cbba62944061e76864c83d7d195141a71434c","github_candidate",""
"docs/release_scope_20260921.md","1747","aa54bb98e674d96982d4adc76b35073b334c5e7c09c69837a49375622781c75b","github_candidate",""
"docs/Thread_Scaling_Experiment_Plan.md","24161","cb693b593d83f9fe10d7faa47866a482b62868727926845899f8c6afff35431e","github_candidate",""
"figures/pdf/fig_5_6_2_correlation_artificial_pair.pdf","24843","369cadacf43a01eca533eea15a9af482dd9661f01be41ce083dbfb04844723e5","github_candidate",""
"figures/pdf/fig_5_6_2_correlation_cc_news_pair.pdf","23893","e41d3a21281307622eff8c95774230953b6d0990aeebdbc8a655eaacf7ba8463","github_candidate",""
"figures/pdf/fig_5_6_2_expensive_predicate_performance.pdf","23260","d7e1cae47f6e4d9df29efd07ccbe5ffd2247efdaaa51b71b62d0325a429b3212","github_candidate",""
"figures/pdf/fig_5_6_4_stability.pdf","21557","dfd1c446494b7f3682d1ae5997fd2a845f0e520ab077be4c9a9b0871fa4c0759","github_candidate",""
"figures/pdf/fig_5_7_a_build_cost_decomposition.pdf","27596","1572129c3880694f469e650219e0f302126c1aa1c011dec77481b73f8ee8ff81","github_candidate",""
"figures/pdf/fig_5_7_b_build_time_recall.pdf","45838","6ad6537ffdc090db42a231ae2917490662e51b644ea4e409f4cbfa5e372ac338","github_candidate",""
"figures/png/art_original_vs_shuffled.png","615057","2e0788389e5fcbd827b2f86b46fcae11e738d6ca52f9ee4c5b31550d45d44b94","github_candidate",""
"figures/png/cc_news_original_vs_shuffled.png","542963","08d99129caa78ea71db05a5d36e6af39b7e9858d7d3e144056d47b56a23d6a17","github_candidate",""
"figures/png/fig_5_6_2_acorn_single_thread_c1_c4.png","468107","3b0e60a2fef3a3a8e046e9864e83bb7f4c76a2008c7245798d81525167e9518a","github_candidate",""
"figures/png/fig_5_6_2_correlation_artificial_pair.png","615057","2e0788389e5fcbd827b2f86b46fcae11e738d6ca52f9ee4c5b31550d45d44b94","github_candidate",""
"figures/png/fig_5_6_2_correlation_cc_news_pair.png","542963","08d99129caa78ea71db05a5d36e6af39b7e9858d7d3e144056d47b56a23d6a17","github_candidate",""
"figures/png/fig_5_6_2_expensive_predicate_performance.png","359108","50968aef5d802a31cfcc4e68824b2436935655a6684cc6cbadac1da0b7269565","github_candidate",""
"figures/png/fig_5_6_4_stability.png","598114","c5946a2fcf557e300f66e26d6450489e7afab170da6e27593f5bb0fc9c0e0673","github_candidate",""
"figures/png/fig_5_7_a_build_cost_decomposition.png","351214","599357f4512dda79ec3f00bb85129ffc39962f7fdb0cdcd2bc6cceba37e57551","github_candidate",""
"figures/png/fig_5_7_b_build_time_recall.png","623218","07820ee939dd54df4d6d3958859f17658a83cfb55bacdf192a7bdb9d56a08ce8","github_candidate",""
"figures/points/complete_build_cost_coverage_W1_W4_S1_S8.csv","38413","b35ae7ce8224752e2df91bcacded392349d38535071151e86f9bf444c16a6e32","github_candidate",""
"figures/points/fig_5_6_2_acorn_single_thread_c1_c4_data.csv","961","8980df5644ab3febbb4741dd11730354f99a70a9f1bfc592bbf1122400b806af","github_candidate",""
"figures/points/fig_5_6_2_correlation_artificial_pair_data.csv","5580","d0b9b1b2aea5a03e874ea03e1c1548fa14f649dd5b88e829c5363d41aa21e97d","github_candidate",""
"figures/points/fig_5_6_2_correlation_cc_news_pair_data.csv","3392","bb5584b801bbe94ad1e25eda04908e4ae79a4e327b20925b70fe27a8812e5acb","github_candidate",""
"figures/points/fig_5_6_2_expensive_predicate_performance_data.csv","1421","5f136059010ac4cebe7762f71c1bf329172fa888eb3e5517b37acd537bd22de9","github_candidate",""
"figures/points/fig_5_6_4_c4_per_run_data.csv","1727","6fb9572dde023090774340b4bc72d1be067a6372f63401867711a6688ac2e3a6","github_candidate",""
"figures/points/fig_5_6_4_cv_data.csv","14540","70991c18e6cc43cd98ae1e6152473d798491c4f37c1985e0c4af4c4bcb43af31","github_candidate",""
"figures/points/fig_5_7_a_build_cost_decomposition_data.csv","963","faaab14236323d4ed744b596adef2cd1eb0f7d3623f9901b0244da5a6fc5e844","github_candidate",""
"figures/points/fig_5_7_b_build_time_recall_all_merged_data.csv","55983","60ce9da83e7d196e0e4fc254c7b08d1c63fb9dafbfbe73b7aba3fa5769f40495","github_candidate",""
"figures/points/fig_5_7_b_build_time_recall_data.csv","19851","46aa64a57594fcf3eb46f60778e1ee66ee66a8aeb0c0da7eb9d7ea7fa3fb79a7","github_candidate",""
"figures/scripts/二连图.py","33423","95a5824589f13eb6b81a098d4859a1614c81f130fc95920ea847d49d8123a1c5","github_candidate",""
"figures/scripts/三连图.py","30522","931b9e63c169c898608338a775fc991db8e3e9ddd0966c89468feb2f1946f118","github_candidate",""
"figures/scripts/cc_news_msong_六连图.py","22835","9f375f56e36c65670e799664479f2618c81417b6f9129303ef7f61c6d1fa0916","github_candidate",""
"figures/scripts/draw_acorn_single_thread_c1_c4_20260920.py","5757","c45bcf19f1635241d56fbba73a225b55beec599b9e048ea7d4813115abf32907","github_candidate",""
